db1.tbl2.col1,db1.tbl2.col2,db1.tbl2.col3,db1.tbl2.col4
2270,-1870,50,2147480553
734,1999,55,2147474024
578,3900,72,2147481790
1949,-618,25,2147474752
1420,-2396,87,2147480394
1396,5062,51,2147483453
2849,-104,5,2147479322
4998,187,58,2147478890
-342,-3443,11,2147476495
-3472,-4916,62,2147481862
393,4185,35,2147476351
-2388,-347,8,2147478513
486,2585,73,2147480310
3226,1378,66,2147476996
2555,628,28,2147482758
2989,7681,70,2147474024
-4839,-5542,89,2147480082
4467,483,7,2147483090
2892,4755,42,2147483036
-4122,146,76,2147483510
1331,4902,34,2147481268
276,-2662,82,2147480133
-2432,-1969,21,2147475004
4687,4945,79,2147475414
-4609,-3717,78,2147479153
-1901,-623,65,2147483205
2215,-331,20,2147479074
3154,7916,93,2147477489
-1160,-5132,70,2147476892
1910,5972,94,2147474191
-4794,-4660,40,2147479695
2035,-1481,40,2147482615
-2210,198,48,2147475268
1019,-2224,98,2147477960
1892,-1430,3,2147482371
-3941,-2273,97,2147481476
915,5704,64,2147474536
4555,5005,9,2147474040
592,2984,93,2147483461
864,5338,95,2147477105
575,1105,66,2147481316
-4337,-7339,9,2147476011
-1696,-2933,72,2147481002
1585,-2124,16,2147483188
2280,-1084,66,2147473965
-263,-4409,90,2147480185
2392,3920,52,2147482544
-3293,-2502,34,2147477419
-69,-1559,3,2147482881
3958,3347,67,2147477892
-2069,708,95,2147478301
-3070,-1783,10,2147480533
-718,-3207,43,2147477654
-2189,-91,59,2147478290
-3014,324,69,2147475775
-3157,523,61,2147478261
759,2453,98,2147476397
-3198,-43,31,2147482083
534,-405,45,2147481848
3815,8023,22,2147477302
-452,-2344,36,2147483163
-1830,3044,89,2147479087
-501,794,97,2147476018
-3352,-2813,74,2147476251
3445,1002,57,2147479395
-2800,-4839,84,2147477181
-2131,-6175,42,2147481213
1944,1437,87,2147482232
-1013,3706,14,2147474899
-504,-769,66,2147476614
3050,1496,1,2147483006
-3307,-4871,70,2147481219
-1646,-6421,4,2147476655
4151,4751,52,2147481461
2683,2325,44,2147480854
2339,6774,92,2147482032
-1556,-5496,40,2147482166
-4699,-9093,62,2147477768
88,4419,95,2147477845
-2025,-923,93,2147482502
-1606,1713,71,2147478485
1709,-2722,31,2147477673
-2267,-3404,1,2147477905
-3314,-5305,9,2147478421
-3591,-7807,42,2147482725
2343,4549,42,2147477601
-2194,-6657,66,2147475942
3716,5687,22,2147479965
2992,2772,97,2147477115
3173,2668,81,2147474680
1614,5972,96,2147475119
-854,-2085,96,2147478761
1293,2750,59,2147479338
-223,-1369,80,2147480453
691,-1258,5,2147477719
315,184,12,2147481387
2027,1169,20,2147474796
2987,4786,94,2147481880
-3307,1567,57,2147480128
-4170,-3993,84,2147477404
3308,4257,96,2147481056
2560,-509,27,2147480909
-3919,-8407,69,2147480311
-4441,-5769,7,2147477444
-930,3732,76,2147477095
3130,1277,97,2147481924
-1494,759,57,2147481480
188,-2671,39,2147478105
1484,6311,85,2147479018
-548,333,0,2147476287
2390,4295,76,2147482870
4207,8747,64,2147481335
3527,4405,9,2147474578
-4149,-7462,59,2147475469
4760,3760,68,2147479550
732,1119,19,2147479475
-1087,-5021,61,2147477457
-893,-167,12,2147483433
-2918,1049,57,2147479179
-4583,-1277,36,2147482960
-1733,-5908,9,2147483521
4708,120,2,2147475572
-4272,-2108,33,2147476088
-2496,-4529,33,2147480661
-921,-4350,29,2147477090
-2857,2022,36,2147474855
-1560,-2794,67,2147483006
-32,885,33,2147479230
-3635,-4143,31,2147481901
-4605,-2205,84,2147482002
-640,-3138,57,2147478295
-54,432,23,2147481050
2266,1757,8,2147482923
2651,1287,40,2147473886
-2844,16,23,2147477434
1541,1270,24,2147482277
334,4258,35,2147482368
1801,1647,7,2147481944
-4047,-6508,92,2147480908
293,-3516,88,2147483078
-2319,2090,58,2147480280
541,5121,34,2147481990
4872,8574,37,2147475441
-3676,671,91,2147480604
-1514,-4704,82,2147482470
301,-513,31,2147481755
-732,-984,50,2147473854
-1291,2982,27,2147476470
4086,8662,55,2147482673
-4496,-8282,98,2147475148
-4177,-8249,7,2147480355
-2895,-4268,40,2147477969
-90,-915,22,2147482643
1190,-2554,53,2147480481
-1514,-2930,22,2147479897
-1670,-3967,31,2147476795
2114,-1533,9,2147478259
2575,-1758,80,2147475494
1819,538,34,2147481782
-4461,-4497,98,2147480066
1042,3144,62,2147477367
1132,4023,66,2147479742
-3419,-705,35,2147475713
2026,-2719,92,2147478028
-4991,-7120,48,2147478393
2418,2542,45,2147481833
3415,5864,26,2147480048
1970,3908,30,2147483082
-3367,-1101,33,2147476052
-4596,-1421,75,2147473903
989,-2551,58,2147480125
-1364,-1555,53,2147481183
1600,2597,88,2147479788
-4284,-1345,65,2147479806
-24,-1605,29,2147473826
-4751,-886,72,2147481260
-3923,-496,22,2147481587
-142,1402,8,2147479170
-1626,-5374,83,2147477831
-470,1411,54,2147479885
1241,4258,0,2147478588
2002,-1667,55,2147473675
4550,4665,38,2147481893
-1823,907,86,2147482160
2043,-2820,17,2147477278
449,-1719,41,2147480551
-836,2105,95,2147480421
1269,87,72,2147479569
-4240,-1410,74,2147473979
1090,2121,64,2147475365
4911,8383,74,2147473964
-4334,-5146,32,2147479892
2570,5526,29,2147477199
-223,-1323,4,2147479746
1376,-3101,49,2147476565
4945,7185,64,2147481440
240,1733,9,2147483202
-1356,-1924,59,2147481987
-4698,-9060,76,2147481111
3150,275,26,2147483572
-379,-253,71,2147481222
-4082,-6285,27,2147476276
-3469,-297,44,2147478221
1949,3831,51,2147481696
3152,3902,65,2147474857
-3024,-6728,61,2147473817
-4875,-5243,75,2147483407
1168,5963,90,2147478044
-4768,-407,76,2147477083
4685,7628,59,2147475525
-2528,-4789,85,2147477700
-4124,-5312,39,2147476683
-3267,-6662,14,2147476896
1986,503,94,2147477521
3434,1024,6,2147482362
4111,4453,38,2147477200
3659,6854,50,2147479253
-4883,-7332,98,2147476354
-4154,-2838,6,2147476180
3915,-861,11,2147474469
-2952,-1719,13,2147477156
-3083,-3849,33,2147473842
-1256,2837,38,2147474113
1038,5903,72,2147476673
-2940,-2653,63,2147481793
-3658,-5826,96,2147476185
-1510,2800,11,2147473747
-4765,-7857,33,2147481955
256,-2109,26,2147479362
-2440,-2025,21,2147479923
468,3475,17,2147483111
1413,3354,45,2147476338
-2102,444,43,2147475082
-773,-5173,17,2147475550
4510,6453,36,2147476671
984,1126,6,2147480705
4184,1896,67,2147480461
-967,-3970,79,2147479710
-3030,359,85,2147476241
3135,3702,59,2147480166
788,1196,47,2147478587
-4078,-8659,50,2147478041
-4050,-6714,99,2147480787
-2355,-2743,83,2147480872
2326,3697,94,2147476574
-1772,-3053,51,2147480510
-1244,-2019,96,2147479652
1898,-2309,76,2147475474
1166,-3020,51,2147480200
-2557,226,83,2147474673
4831,658,53,2147474433
-549,-1673,40,2147475448
-1823,1972,41,2147478834
-854,1342,21,2147480884
-3208,-2476,38,2147482200
-3355,1042,22,2147480249
-1928,-5074,47,2147477045
1514,1545,32,2147474874
4524,7917,40,2147476288
-788,2182,29,2147478698
-3375,-402,77,2147477297
3666,7275,46,2147479559
1783,5929,99,2147479285
-3010,-2711,56,2147476851
1320,700,71,2147483640
588,-3446,56,2147480883
-4312,-5069,61,2147480941
182,5098,85,2147483256
4984,1743,56,2147481498
3058,-991,67,2147482175
-2283,-2759,98,2147481503
2311,4497,71,2147479586
490,2135,97,2147475609
797,4935,85,2147480595
-1665,1373,24,2147474491
1305,-244,88,2147483480
-1538,-5706,39,2147477788
2221,531,16,2147474772
2218,4994,79,2147480210
2970,113,47,2147478359
-2462,-2915,38,2147474412
1612,1617,14,2147483540
1150,575,16,2147479223
-758,-2063,34,2147481051
-3692,-4515,32,2147478277
1035,-371,17,2147482932
-434,-943,29,2147475252
-3721,-1638,86,2147483109
-3613,-5934,36,2147480154
-777,-946,6,2147474178
-2427,-4828,73,2147476438
-3696,-1328,79,2147474900
-2459,-5408,27,2147477589
3996,-930,86,2147479276
3232,5416,97,2147482497
-3378,-337,17,2147478881
2992,-1363,46,2147480034
1136,4782,22,2147483008
-1972,671,19,2147479440
-775,-2708,30,2147476134
-2134,-2346,13,2147476491
3340,2190,22,2147481437
1819,6147,1,2147483570
-3667,-4517,28,2147476886
-147,1065,49,2147481348
4977,7692,72,2147478932
2101,4775,58,2147476337
-4847,-2230,32,2147476980
-2657,-2521,47,2147474846
-4940,-810,43,2147480602
2970,-778,11,2147480911
4650,3199,82,2147483220
1667,-1011,41,2147480698
1960,-36,83,2147478909
-1360,1622,94,2147483030
3407,-1255,34,2147481518
-3250,-2646,40,2147474990
3901,4220,84,2147475302
-1007,2673,54,2147478401
-127,-321,12,2147480784
2124,281,38,2147479629
3820,6506,90,2147482828
-3479,539,88,2147474725
-1706,-1621,65,2147473769
-1958,-2461,34,2147476843
-4386,-3994,71,2147475862
-1777,361,32,2147476639
-4870,-6887,88,2147482673
3230,5924,84,2147483518
-4080,-1516,35,2147475717
3502,7432,12,2147479043
-654,4342,55,2147475610
4005,1037,45,2147477671
-1489,-4718,72,2147482247
2069,-2011,98,2147480090
-565,-1805,45,2147480068
3567,600,99,2147476017
-612,2220,43,2147475967
3173,805,45,2147476887
2511,6666,73,2147481604
-195,-4389,68,2147479203
3202,70,30,2147475540
2827,3256,23,2147480055
-3611,-1337,31,2147477486
-4064,-2662,66,2147481157
3245,5459,15,2147475137
-3087,1701,56,2147477657
4041,6353,83,2147475469
-124,2163,23,2147474920
-3067,-6687,33,2147482536
2490,6669,51,2147478484
1881,6428,47,2147477862
-4046,129,86,2147475417
-867,-497,52,2147476489
4105,7333,54,2147481589
3987,3023,37,2147476012
4516,-167,1,2147479011
-2255,-5664,68,2147474765
-3688,789,81,2147481095
-2617,-4378,52,2147474460
1924,-2714,49,2147473685
-714,-1976,28,2147476108
1150,-3294,73,2147477986
150,2711,54,2147479131
-1259,3507,60,2147477367
3780,8519,49,2147480879
4882,1018,15,2147482694
-457,-4450,86,2147476002
4439,874,93,2147477690
4437,4521,69,2147483637
-3113,-6848,43,2147473822
4109,7182,99,2147483552
3213,2782,83,2147480388
2437,2236,15,2147474319
-189,3765,27,2147474341
-2572,-2446,56,2147482387
2813,7458,25,2147479624
2266,3806,85,2147474770
4078,1922,10,2147476945
-3177,-5022,0,2147477634
-1222,-3326,68,2147476244
1446,625,42,2147478016
2424,-1643,45,2147476671
-1944,2040,35,2147482623
1635,-1110,65,2147483049
179,1752,56,2147482779
-1324,-2944,5,2147475176
-3950,-5317,61,2147473741
1059,4943,26,2147483170
-2054,671,25,2147483601
-3125,-6362,98,2147480308
4208,6307,12,2147478697
-4884,-7451,75,2147475869
3586,2374,17,2147476390
-3611,-254,37,2147474744
420,4340,5,2147481839
-1504,-5726,91,2147478651
4768,6499,27,2147475751
3783,1503,88,2147476390
1047,4079,4,2147478377
-3051,-1319,58,2147477947
-1826,188,78,2147477310
-1959,-6854,72,2147481855
-3105,-2015,44,2147473773
-4366,-7441,52,2147479645
-1856,2775,1,2147479322
383,-706,48,2147477822
4299,7741,72,2147482628
-4793,-8894,89,2147479146
-4106,-8592,86,2147480055
2867,1976,62,2147476000
-3734,-5096,91,2147483351
-220,-3293,69,2147480531
-4694,-1715,57,2147477868
-4339,-4695,3,2147478485
4274,8220,29,2147481920
-4648,-554,56,2147480663
-4044,-6973,46,2147483484
-1547,128,17,2147473822
-3288,-3585,93,2147482515
631,5264,90,2147482187
4461,4193,94,2147483230
-2042,862,43,2147475206
4131,-344,51,2147475086
-4626,-4978,48,2147476573
-3354,-8341,29,2147480634
-1845,1476,51,2147478467
3219,332,36,2147479019
543,98,62,2147478351
1430,-104,11,2147480360
-4731,-4007,16,2147480025
4472,5748,33,2147474005
1656,-2769,27,2147477045
4499,2691,3,2147482928
-2266,-1150,97,2147473940
4771,1974,45,2147479091
-3075,-7456,13,2147482830
-3061,-4108,12,2147476224
4235,-484,57,2147479926
-707,-529,48,2147474467
-3771,456,49,2147477873
-2260,-4971,66,2147477268
-4875,-2402,20,2147481577
2351,3989,79,2147480360
4110,6705,50,2147478336
757,-2274,37,2147475572
2175,6731,25,2147479399
4991,6803,5,2147479262
4710,908,17,2147478282
1257,3962,5,2147478004
-4014,-4574,40,2147477292
-1876,2643,56,2147476855
-967,-862,49,2147476304
-4426,-3722,24,2147483524
1924,752,47,2147474898
2114,6653,23,2147473875
4829,3943,29,2147477546
-4000,42,86,2147476521
-1288,-4921,44,2147483099
-4546,270,42,2147478787
2232,2038,71,2147480215
-2125,-1533,55,2147480204
1059,3069,72,2147477108
-2011,2207,69,2147476162
-2137,-5960,32,2147477932
252,-349,96,2147479152
445,2015,44,2147479710
-4594,-388,6,2147476817
1542,3478,17,2147480061
-4860,-4978,69,2147474312
2151,5715,44,2147478985
1894,4205,36,2147474831
4873,6660,20,2147480387
-1470,-5184,89,2147476280
2102,-539,78,2147476713
1441,1488,43,2147475537
4667,1465,29,2147474607
495,5395,10,2147481997
-3700,-1831,7,2147475655
-384,-5375,4,2147474369
1295,1110,7,2147481348
-3684,-2985,4,2147481166
-1317,910,9,2147474902
-4855,-4845,14,2147475993
4776,258,55,2147478188
-4370,-517,54,2147473752
2622,4949,2,2147475309
4160,260,40,2147479066
2421,2437,9,2147474739
-642,4127,6,2147482377
-2651,-1952,62,2147479387
4382,6146,62,2147480608
-4928,-4456,87,2147482904
-4293,-7489,25,2147475219
51,-2474,33,2147476663
2397,-868,71,2147480654
2979,407,38,2147477094
249,540,59,2147475077
-1126,3560,68,2147473889
-1626,2582,99,2147480734
-2507,-694,25,2147483202
-1281,842,61,2147475715
2446,1889,9,2147481479
1099,4654,96,2147480986
-4852,-5815,99,2147480535
4958,4853,53,2147478783
4715,2500,30,2147481098
782,2039,37,2147473948
-4660,-6843,24,2147476476
299,5216,76,2147479025
-1733,-2327,64,2147479355
3597,3034,99,2147476048
-893,-5333,99,2147476806
-3174,-545,49,2147481642
2693,5957,23,2147474668
2002,1227,26,2147475197
907,2004,81,2147481613
-741,2545,49,2147480550
-83,3346,49,2147474525
2045,-1907,14,2147480657
-2036,101,16,2147476728
2340,4519,28,2147477182
-4155,-3378,4,2147481439
-2506,-4787,10,2147483160
179,1789,79,2147478984
1488,1225,51,2147476751
-4311,-4136,33,2147476484
448,-3373,80,2147479961
3591,5498,32,2147475765
671,2599,48,2147482974
4011,2303,30,2147476365
-483,-2181,17,2147481774
2870,3563,88,2147480062
-3451,1505,4,2147481089
-519,2379,29,2147482029
-163,2595,44,2147477027
2993,4000,86,2147475217
1356,4789,37,2147477573
-732,-5061,81,2147475135
-408,-613,95,2147482407
-2645,-1758,93,2147477471
3737,3456,28,2147477152
2394,7045,35,2147476270
-2328,-3128,8,2147479167
-4608,-992,22,2147480383
-1369,-197,2,2147474561
3433,2330,85,2147478877
3980,6431,55,2147481887
1869,-884,39,2147482583
3080,5179,55,2147478849
2340,4423,57,2147479045
-60,-1789,30,2147480343
3599,6249,85,2147474189
-4853,-3433,10,2147478510
-469,-139,41,2147483046
3964,5457,2,2147482023
1511,4015,56,2147481369
3551,927,13,2147481828
-3173,-1194,45,2147480257
3569,2854,18,2147478382
-2804,-4057,59,2147478337
607,-3624,30,2147483096
1303,286,35,2147477744
-4479,-352,31,2147480799
-417,529,62,2147478462
2128,-411,25,2147477428
2031,6790,64,2147482122
-125,-3869,1,2147477248
2165,-2534,69,2147480622
-4354,597,44,2147483049
-670,3890,77,2147479913
-442,1137,91,2147474088
-918,-1735,96,2147477455
-3276,-6900,24,2147474121
-3347,-6281,39,2147480937
926,2177,17,2147475505
-1700,-421,97,2147476427
-1273,-1,11,2147478684
-4486,-9038,90,2147477990
3033,553,23,2147483386
-1033,412,96,2147482396
132,-2321,78,2147478891
3505,1588,42,2147480681
2604,5148,31,2147477990
-3222,-320,80,2147478702
2378,-1498,98,2147476986
4596,4847,46,2147481405
-3987,-8761,44,2147479942
2909,3497,34,2147477867
891,-3029,76,2147481834
-1708,-3122,8,2147480063
1643,602,9,2147475542
-1610,-613,64,2147479107
4324,-135,58,2147483592
-4133,-510,97,2147477449
4398,567,56,2147476303
-3864,-6054,88,2147477166
-3981,-3744,85,2147479329
-2990,600,9,2147478724
-2829,437,89,2147483320
624,4315,18,2147483393
68,1465,49,2147474293
3186,86,67,2147483389
-3551,187,4,2147475346
1052,-1852,28,2147481585
4817,3148,4,2147477218
-2022,-4183,59,2147477074
2531,1814,64,2147478433
-3381,-1513,27,2147478222
-287,4270,82,2147474038
-4838,-7864,99,2147474929
-4369,-8464,0,2147474154
2896,-1900,28,2147475370
4032,4379,50,2147474605
3017,314,35,2147479506
-4311,-5311,31,2147483574
2927,-902,63,2147480085
1342,-2209,13,2147474410
1285,1717,31,2147479244
1164,-166,8,2147479597
-3062,500,82,2147479910
3616,4920,10,2147480269
4086,5719,47,2147483599
-2664,2215,50,2147476537
1171,3268,3,2147481425
-376,-3743,40,2147474990
-3463,-5326,24,2147479162
-1250,2285,16,2147480863
413,79,46,2147483476
-3146,-3091,7,2147480266
4283,5057,57,2147481401
-4219,-1671,0,2147482389
-1133,1060,1,2147475653
879,-151,9,2147480519
-3423,780,90,2147475831
1744,-830,26,2147482598
-2449,-1038,12,2147473971
-2445,-6970,62,2147481012
2239,3949,10,2147481950
3078,4141,13,2147475471
1971,496,95,2147477269
1530,-3212,79,2147474786
-865,764,92,2147475368
2167,-2221,97,2147474371
3804,1111,25,2147480279
4973,5879,68,2147476060
248,4014,82,2147474414
-4331,-4967,38,2147483133
-4077,-7952,91,2147477665
3438,2149,27,2147477918
1274,138,16,2147480834
-4774,-9510,36,2147475606
2544,3113,82,2147481776
4346,-67,26,2147482834
-1652,-353,75,2147480045
3381,7553,66,2147475499
1450,1883,67,2147480558
-2674,1413,46,2147477519
1763,-1563,74,2147476871
3915,4964,33,2147483062
4127,-718,17,2147481629
1344,2123,34,2147483316
-1170,2876,17,2147478525
1659,-2900,69,2147482780
2358,1986,33,2147480009
-4052,-873,32,2147474465
2568,2214,71,2147477564
2374,-1488,83,2147481135
1362,-1184,83,2147475718
-3623,-1922,42,2147482476
-2341,-2745,81,2147478454
1142,1768,26,2147480490
-4577,-2578,47,2147477323
-243,-3276,68,2147481509
2789,735,70,2147476168
2880,2955,21,2147476173
-2010,145,33,2147478665
-4067,-7607,42,2147480347
-4736,-2920,76,2147476283
827,4086,95,2147479420
2789,3506,87,2147480485
-210,1973,15,2147478807
-2521,2364,13,2147473907
4777,1269,38,2147476644
4491,7342,70,2147482595
2368,884,11,2147481456
-423,-4696,83,2147477749
-3553,-1972,96,2147480102
1748,-2847,54,2147481905
-1260,-4414,5,2147476426
525,4295,39,2147474817
-3815,-6421,90,2147475314
-995,1434,12,2147482499
1716,1591,68,2147478647
2815,1266,23,2147474008
-2200,1133,73,2147481669
1892,2700,58,2147479362
93,-3582,45,2147479691
-3841,-4191,95,2147480753
-4660,-5832,72,2147481400
482,1858,98,2147481170
-88,-440,43,2147477445
-4818,-6706,75,2147477408
823,-2660,10,2147482016
-1371,-2743,60,2147477688
4324,5912,35,2147479818
1246,-2767,71,2147481776
3365,2106,9,2147483152
-4274,-5514,77,2147480631
1993,1026,93,2147477647
-1256,2355,0,2147482370
-4065,-5257,62,2147474909
-2298,-1409,11,2147478904
-800,-5599,4,2147478930
4101,3759,77,2147476534
-4230,-6075,35,2147478590
1031,2470,16,2147480691
-2534,-5252,57,2147478795
-3002,-2526,21,2147482095
4342,3660,30,2147481618
-3569,-2945,25,2147479519
-3870,-2307,12,2147475426
3566,686,62,2147478408
-3177,-6703,66,2147478008
1990,2150,62,2147475628
-4641,-8500,10,2147475235
-1639,-56,68,2147482240
-1733,-169,63,2147480251
-2394,-1488,67,2147477285
-4087,-7076,31,2147480948
-3171,596,73,2147480812
-1301,3354,9,2147483054
-3100,1549,53,2147474795
4591,3006,54,2147479198
-348,2591,81,2147481033
2597,2055,61,2147476098
-2691,-1423,54,2147480786
-991,637,86,2147477041
668,1981,81,2147480005
1789,-2426,34,2147482713
-2584,1404,66,2147479312
-3064,-4257,64,2147482213
-1764,-4412,16,2147474842
-84,414,41,2147480135
-3561,-831,58,2147477175
-4618,130,69,2147477129
-4642,-4711,10,2147479263
-3373,1122,77,2147481106
4326,5978,27,2147481664
-1165,1852,38,2147475705
1905,-261,53,2147476065
-3693,155,99,2147473773
1207,-631,10,2147476480
-3292,-4662,57,2147478126
4702,177,39,2147480118
-3793,-6833,3,2147482289
-239,628,63,2147478266
2929,3276,47,2147474657
3125,579,69,2147477426
-2192,-550,82,2147474589
1068,-130,30,2147477251
806,1948,1,2147477628
-4636,-5378,42,2147478016
-4885,-2801,88,2147482341
-1065,1677,40,2147474898
