db1.tbl3_batch.col1,db1.tbl3_batch.col2,db1.tbl3_batch.col3,db1.tbl3_batch.col4
109,1459,860,2372
816,1095,1724,1098
895,121,466,8893
650,1482,87,8390
546,871,1687,3832
422,1332,769,8785
393,1437,805,2275
234,955,276,6421
329,1337,21,2604
711,856,1584,7585
324,510,1705,7826
150,975,1806,8942
545,686,957,4335
635,1590,1267,2658
878,1154,1508,1344
31,20,840,3981
271,387,600,4160
835,241,776,3427
821,897,1363,7453
635,955,1478,9846
923,775,1966,7281
367,1104,1955,1914
491,1411,1025,7660
315,565,1129,5064
589,1500,702,5025
587,1579,161,1290
571,995,269,7121
596,1294,455,9640
367,1275,1016,8864
79,1748,719,7715
885,878,1076,10864
171,216,763,9236
257,492,1064,1838
278,1836,64,4235
503,520,1367,5093
732,1495,1086,4064
557,592,391,2242
490,288,378,10287
584,230,1017,8115
565,134,200,7476
838,929,1056,6569
732,406,1597,1627
892,98,683,8924
336,1570,960,2682
520,1966,1485,4051
325,1028,1241,2186
171,397,870,5023
83,206,1038,113
841,891,1484,1083
840,863,742,7758
523,1020,95,10213
480,484,1430,5991
543,1678,1194,6051
417,524,1183,5085
338,1266,1109,6425
800,681,556,7815
319,1012,645,7955
303,1643,1579,6965
271,1981,1354,4274
689,1371,1496,10540
113,1248,1408,711
406,1981,632,2601
25,1768,1282,94
236,1479,1434,8375
309,1700,1248,9894
683,683,663,4342
232,1397,1695,10073
548,1256,1715,6182
264,1520,441,2545
989,1533,1830,7811
12,1136,1636,3694
495,1104,698,3178
315,641,219,4877
617,1759,1248,5269
637,1661,1153,5568
847,729,1695,10349
383,246,835,5096
641,1207,122,6054
990,293,279,6590
315,1633,197,4418
255,1534,751,2330
440,1224,1147,1222
114,463,1372,3920
298,763,954,9823
914,1369,1986,1971
123,1171,863,2177
255,488,928,2364
650,550,337,7933
717,1802,1976,2037
46,150,1438,7895
728,262,1787,5145
830,623,1016,4529
902,1,896,1634
462,1675,452,7024
349,1014,8,3898
122,1682,815,6285
30,403,151,6585
983,1696,1943,6361
54,1648,1991,8850
152,103,1875,1874
455,1135,509,3267
285,152,1884,10058
35,877,337,7572
817,1186,1743,3095
909,160,1603,3259
796,1300,815,4419
922,1919,1415,7452
884,400,639,1598
255,459,954,1179
177,1398,1045,3339
547,37,229,4700
253,437,1799,4782
507,225,1300,3076
673,283,878,3488
20,452,1019,6992
805,658,1539,5383
74,1072,1535,4536
992,1243,157,1880
718,1396,517,6666
459,1768,1060,3937
983,496,301,4572
177,1122,699,1900
381,190,252,1639
36,1184,1279,7062
970,17,1816,9572
119,569,1346,2349
914,1815,625,8368
629,853,1686,2689
0,154,489,3898
720,1127,1952,3333
935,245,1199,7950
310,1705,758,7008
207,1841,920,2009
153,827,1529,830
761,35,684,8848
682,1799,511,5395
314,971,1906,8044
306,1115,1377,3310
503,726,1982,9489
618,1688,1721,1346
654,1148,149,10539
519,1365,304,5253
605,837,1806,795
909,443,612,5903
96,1076,1595,3962
489,4,1126,10170
6,876,991,6045
785,46,866,7230
11,1843,655,8840
513,635,1129,4558
945,656,119,7260
348,1627,1081,5972
916,740,1497,5074
6,790,1150,4117
499,1012,1664,7333
474,512,1774,9507
523,1661,1141,4474
851,487,1260,6071
56,1295,1212,4114
589,580,789,3836
585,1986,1099,1801
