db1.tbl4_clustered_btree.col1,db1.tbl4_clustered_btree.col2,db1.tbl4_clustered_btree.col3,db1.tbl4_clustered_btree.col4
109,3863,860,2372
816,4530,1724,1098
895,4032,466,8893
650,3425,87,8390
546,1005,1687,3832
422,4360,769,8785
393,9223,805,2275
234,9209,276,6421
329,6250,21,2604
711,2979,1584,7585
324,439,1705,7826
150,1837,1806,8942
545,3209,957,4335
635,894,1267,2658
878,650,1508,1344
31,7795,840,3981
271,9283,600,4160
835,7661,776,3427
821,4985,1363,7453
635,2562,1478,9846
923,1179,1966,7281
367,6075,1955,1914
491,4215,1025,7660
315,3783,1129,5064
589,54,702,5025
587,9285,161,1290
571,1517,269,7121
596,1179,455,9640
367,5587,1016,8864
79,1179,719,7715
885,1179,1076,10864
171,5841,763,9236
257,9452,1064,1838
278,2265,64,4235
503,8915,1367,5093
732,6124,1086,4064
557,9485,391,2242
490,3389,378,10287
584,4359,1017,8115
565,9692,200,7476
838,9257,1056,6569
732,7185,1597,1627
892,1837,683,8924
336,8623,960,2682
520,1819,1485,4051
325,2377,1241,2186
171,4371,870,5023
83,1445,1038,113
841,7080,1484,1083
840,4822,742,7758
523,1903,95,10213
480,1915,1430,5991
543,5267,1194,6051
417,3121,1183,5085
338,8776,1109,6425
800,3965,556,7815
319,2152,645,7955
303,291,1579,6965
271,1179,1354,4274
689,5220,1496,10540
113,6402,1408,711
406,9507,632,2601
25,9260,1282,94
236,5602,1434,8375
309,7779,1248,9894
683,3228,663,4342
232,7047,1695,10073
548,9109,1715,6182
264,4008,441,2545
989,7587,1830,7811
12,7581,1636,3694
495,4656,698,3178
315,1002,219,4877
617,4552,1248,5269
637,1060,1153,5568
847,8275,1695,10349
383,1936,835,5096
641,3285,122,6054
990,3462,279,6590
315,2406,197,4418
255,5492,751,2330
440,1179,1147,1222
114,8249,1372,3920
298,6827,954,9823
914,5945,1986,1971
123,2921,863,2177
255,6983,928,2364
650,9965,337,7933
717,6229,1976,2037
46,7022,1438,7895
728,9791,1787,5145
830,6810,1016,4529
902,7546,896,1634
462,6466,452,7024
349,4106,8,3898
122,3939,815,6285
30,7745,151,6585
983,8454,1943,6361
54,7191,1991,8850
152,5003,1875,1874
455,8645,509,3267
285,9446,1884,10058
35,3671,337,7572
817,6423,1743,3095
909,8171,1603,3259
796,198,815,4419
922,5897,1415,7452
884,3814,639,1598
255,5975,954,1179
177,7450,1045,3339
547,285,229,4700
253,1151,1799,4782
507,9422,1300,3076
673,257,878,3488
20,775,1019,6992
805,8702,1539,5383
74,700,1535,4536
992,4236,157,1880
718,977,517,6666
459,6036,1060,3937
983,4835,301,4572
177,6250,699,1900
381,5761,252,1639
36,3966,1279,7062
970,1875,1816,9572
119,212,1346,2349
914,5772,625,8368
629,4483,1686,2689
0,7281,489,3898
720,9024,1952,3333
935,1179,1199,7950
310,797,758,7008
207,37,920,2009
153,9240,1529,830
761,7258,684,8848
682,9353,511,5395
314,7376,1906,8044
306,4156,1377,3310
503,4353,1982,9489
618,134,1721,1346
654,2383,149,10539
519,3072,304,5253
605,2773,1806,795
909,8277,612,5903
96,6810,1595,3962
489,6715,1126,10170
6,5667,991,6045
785,8992,866,7230
11,1179,655,8840
513,5956,1129,4558
945,4002,119,7260
348,5586,1081,5972
916,7018,1497,5074
6,1179,1150,4117
499,9057,1664,7333
474,5720,1774,9507
523,1179,1141,4474
851,5692,1260,6071
56,8597,1212,4114
589,2534,789,3836
585,8474,1099,1801
232,8928,996,6324
790,1060,1997,8770
29,221,1008,9119
366,2927,1011,5952
825,7769,217,7901
606,9742,550,8546
819,1179,1757,3041
55,8044,521,9504
9,715,801,7988
914,1064,761,2428
146,1179,768,8754
363,4875,1039,3246
598,8899,257,4424
252,6393,1498,4591
698,2754,689,1372
939,5727,1952,7228
744,5849,1636,846
252,2051,1440,4245
442,8640,1579,4150
735,8702,1630,2230
339,7684,498,3731
515,7041,848,8052
352,8237,1945,3137
623,6269,417,6442
704,9352,1219,4363
652,9863,1516,5532
322,7993,1443,5910
139,1894,760,4941
860,1166,456,5751
950,1449,1712,4475
444,2397,1008,3961
94,3506,1213,4871
552,8469,1392,4741
419,1179,216,7352
513,3956,1296,6650
789,6473,1903,7043
149,1473,698,2062
552,477,395,7887
350,7317,75,1500
115,7820,717,4252
631,7910,850,4767
236,509,884,7965
269,8948,1048,1779
860,5934,1507,4775
290,4126,568,6615
433,9592,1065,3685
8,1061,1246,8943
750,4646,1238,4688
629,4771,657,3140
863,355,1097,1936
826,3008,1276,3018
823,4362,1676,9030
474,289,945,7857
521,7940,1540,5692
536,9235,338,8834
684,1179,1856,4998
736,12,510,7216
10,6792,1155,2867
612,388,1438,4961
776,1957,1205,2204
902,3677,1881,7625
326,3419,1474,7105
929,6341,1243,8785
594,3240,475,7894
275,3755,1384,6920
369,2204,1996,8039
489,1347,1214,3410
344,8142,823,8510
772,9411,133,8016
367,6413,671,1245
732,8253,1172,9234
310,497,202,9616
730,7824,1250,2051
600,8929,1425,4975
484,6260,1549,9642
14,914,1396,8900
757,1179,655,5762
687,3649,1035,9149
3,2374,967,5639
845,5659,667,6065
375,6876,1371,9978
368,7444,697,3395
464,5922,731,3588
532,1060,1727,2285
719,6675,1168,8905
985,1222,460,6084
136,6854,908,4471
833,7263,389,4118
362,8062,708,8914
974,88,9,9899
930,7685,1274,1781
215,2994,1015,1074
367,7066,145,1717
116,9873,1802,5034
178,3581,1240,5908
245,8715,688,571
127,6418,104,2247
357,8656,404,1350
77,8846,708,5452
740,8644,770,2506
292,291,1588,9664
773,7161,82,2737
81,3668,456,6682
341,1833,684,3122
337,3674,448,7356
818,1917,33,3723
577,1179,1574,8867
95,1209,437,338
144,8442,1329,4181
576,2668,235,8514
520,1463,762,10212
396,3284,766,5890
995,8535,1252,3704
356,3925,74,8057
185,7146,1727,7980
669,1179,1329,7757
542,5613,1358,1589
150,5216,1331,4528
318,9540,983,9825
753,4962,758,10331
667,7801,132,7211
58,85,183,6769
9,1040,1531,7230
856,2291,545,10785
123,5917,204,8736
355,7385,1775,7347
345,1932,760,8407
793,6149,94,4594
236,380,1543,5598
332,778,1719,5805
16,3306,1218,9619
423,3455,1969,4993
323,123,1426,2775
22,1083,603,2105
930,2057,1428,10472
458,9162,232,5621
459,6739,545,5292
520,9641,1836,7321
718,3218,248,4058
556,4552,238,4400
420,4707,830,1059
964,1179,1049,10730
402,5670,624,8498
330,7666,718,8481
456,3669,725,8833
482,1060,77,5882
497,4645,665,1815
26,2739,882,8745
396,2958,918,3655
