db1.tbl5.col1,db1.tbl5.col2,db1.tbl5.col3,db1.tbl5.col4
109,818,9800,1910
816,215,213,742
895,402,5897,3160
650,282,5782,1316
546,830,7402,4541
422,955,9164,7566
393,572,303,7681
234,572,7276,7007
329,214,7000,3805
711,381,8174,9232
324,44,860,8108
150,916,4047,1731
545,171,1855,9847
635,220,6951,7409
878,384,2167,1567
31,94,5959,1810
271,858,1633,7874
835,43,2474,5123
821,227,5040,9686
635,573,2377,8796
923,316,9942,8669
367,730,3411,7280
491,334,4659,5852
315,600,4275,4705
589,623,4385,141
587,718,8677,4655
571,999,9552,2098
596,466,7275,5389
367,878,772,1286
79,817,1832,9401
885,714,7605,807
171,296,1299,7388
257,544,8373,3805
278,488,9454,4504
503,214,8337,973
732,523,5163,2938
557,1,1839,85
490,874,4594,7723
584,660,802,9988
565,653,3950,9499
838,801,1318,8651
732,206,6118,2508
892,340,4626,1144
336,703,2940,7828
520,406,7569,4664
325,852,7398,4645
171,305,5458,5832
83,506,2052,9601
841,909,6454,4266
840,468,6305,9545
523,763,8407,4130
480,715,785,9416
543,873,6979,1191
417,557,1635,9724
338,885,7338,9439
800,494,3109,5921
319,260,6053,2025
303,577,5004,3511
271,661,5756,5741
689,581,7445,8024
113,363,284,7872
406,513,2413,3692
25,540,1643,6499
236,767,7235,8159
309,572,9319,4628
683,611,9461,6516
232,895,6335,3483
548,454,643,1015
264,143,7311,6157
989,191,8217,6358
12,864,3937,2583
495,352,4807,5139
315,781,6336,927
617,298,6524,9703
637,459,1025,1737
847,426,5722,6579
383,837,1068,3038
641,822,9130,7219
990,715,4098,6500
315,756,8015,1721
255,30,9664,2766
440,331,175,2825
114,969,8095,6670
298,935,1143,8410
914,410,5893,8713
123,51,7341,404
255,383,3510,5138
650,242,4062,8771
717,774,7797,6158
46,685,950,4421
728,611,4436,3697
830,416,2744,5066
902,474,8312,157
462,391,4670,3175
349,388,1920,5911
122,572,9876,9813
30,967,5612,7043
983,871,6419,7921
54,699,9160,805
152,468,6172,9497
455,407,5930,8705
285,518,3808,7235
35,188,4738,503
817,594,6495,7236
909,350,1104,7726
796,931,4389,5986
922,282,3884,5183
