db1.tbl5_dim1.col1,db1.tbl5_dim1.col2,db1.tbl5_dim1.col3
118,9007,1452
1,3961,423
4,253,337
6,3620,766
30,4406,1603
836,532,1640
359,9859,1081
4,197,1479
3,5507,55
15,9128,1539
828,3323,432
2,8655,1785
725,9595,1323
2,1734,1013
428,8215,1515
281,2748,414
415,3239,415
445,9776,889
3,9429,1274
191,813,852
93,8598,1143
404,3124,887
22,9230,849
12,8722,1442
129,7282,551
4,9394,600
260,6949,1120
5,8311,1659
1,1899,1494
35,5450,1357
293,4844,190
99,2294,1244
923,6461,173
2,4949,1602
7,2116,77
10,9056,575
1,4068,436
1,8248,1030
1,3972,633
12,6801,524
313,6196,1736
114,2685,597
16,7082,1376
4,9633,892
1,1810,883
2,7119,1596
10,5565,605
9,61,318
4,3408,465
979,8580,1177
16,4767,1483
4,4896,189
12,664,1315
5,6459,1496
8,9820,1262
1,1227,178
1,2248,76
22,2753,987
22,2946,1591
2,8177,1935
286,2684,1601
2,6260,1565
179,2003,721
2,7134,1146
5,1525,144
4,3711,1696
3,2457,941
702,8757,516
4,9609,1660
21,8436,817
138,3868,1206
6,4005,1299
1,6048,1660
168,2123,1486
5,9721,710
387,370,1753
22,2174,133
60,9368,791
693,6744,1851
378,5600,394
212,1622,770
30,4289,1703
2,355,807
304,8250,1228
1,5324,341
431,7672,923
174,3374,341
230,7513,632
9,3356,595
1,5585,1130
130,2256,476
849,7904,312
347,9019,608
305,7661,789
64,8964,1552
1,5756,727
360,681,964
3,572,285
4,1342,493
161,2580,836
120,4231,344
1,351,318
4,5751,1569
256,2692,1016
686,4296,634
4,6387,207
167,3321,16
25,7831,970
10,1881,1953
467,5924,1170
34,9205,1120
100,5617,982
47,5141,327
69,7231,306
27,4421,1147
30,1754,1309
331,7039,1902
5,1196,234
139,626,784
4,8637,1041
1,7359,1426
485,8275,1143
12,154,1845
93,8626,1493
163,4513,1069
219,8068,1584
3,7407,284
76,5950,694
166,4258,259
1,8834,1203
2,4395,1587
9,2376,409
5,9649,327
219,8725,345
69,7820,636
23,7035,1589
1,7937,895
1,3580,801
27,3633,1697
416,8929,89
186,2027,1840
412,6317,862
39,2569,1316
3,3740,1537
1,1442,1757
640,2208,1731
20,9335,1980
348,961,1810
136,9063,280
285,89,1494
3,4788,477
91,9808,1756
126,2111,661
35,108,207
291,8005,1978
916,9912,708
1,3735,1244
17,9812,408
159,5507,681
128,3456,1796
19,6465,459
307,1006,460
88,307,1375
34,8400,568
4,8932,868
9,3660,228
922,9111,170
495,2949,1224
103,2690,1916
348,2051,1247
2,647,1825
4,6490,543
424,1484,1173
19,2482,1728
47,956,1812
419,5057,1019
12,705,1435
21,8700,1015
1,2101,535
938,5641,1511
820,4495,1344
5,5228,356
332,5682,871
140,6868,777
2,8261,686
1,2524,404
1,1639,789
1,3942,14
62,8208,970
22,5199,1127
976,7913,1629
5,9959,1777
128,3370,1305
10,6554,1091
1,3742,1582
399,1235,1087
11,184,236
537,1944,1162
624,40,1689
260,8895,131
1,6597,1496
776,9531,1910
1,3040,338
598,6205,1202
53,9908,1620
9,8012,717
124,2084,1723
25,9444,305
215,8735,54
26,7905,189
9,5243,1358
8,2311,871
8,2266,140
19,5466,238
1,8468,1121
80,5025,1484
7,5605,620
38,6267,177
29,9302,982
343,9958,536
355,7060,1156
923,362,984
3,7594,1307
1,7935,1244
14,5850,176
462,5468,544
50,4210,1671
9,5997,645
182,6344,756
116,8349,55
117,5443,1945
26,6032,1661
30,1535,742
36,850,1626
35,6467,1163
3,8414,456
4,8794,949
9,9186,1062
339,9479,1663
18,4075,1590
576,4123,46
213,9223,1407
355,2404,678
2,6698,1806
2,3925,44
3,5274,984
80,8468,85
20,8413,176
2,7255,637
149,7759,1243
27,8243,1139
134,9034,1190
508,8066,1256
529,8320,1531
5,2277,583
2,1371,1372
14,3985,71
1,6339,1034
1,8293,637
849,7473,1813
810,4808,1167
8,4258,95
