db1.tbl5_fact.col1,db1.tbl5_fact.col2,db1.tbl5_fact.col3,db1.tbl5_fact.col4
235,1459,1,3782
45,1095,1,1959
53,121,1,1297
3,1482,1,6342
7,871,1,5724
314,1332,1,9225
1,1437,1,5083
345,955,1,4323
21,1337,1,7302
296,856,1,3229
6,510,1,6569
7,975,1,1476
156,686,1,2408
200,1590,1,7544
3,1154,1,936
817,20,1,5416
1,387,1,2246
1,241,1,5690
48,897,1,4338
126,955,1,6573
747,775,1,3951
12,1104,1,2659
1,1411,1,6150
51,565,1,7486
5,1500,1,3284
14,1579,1,1297
22,995,1,1648
1,1294,1,8552
21,1275,1,3453
14,1748,1,9357
116,878,1,8093
71,216,1,5630
2,492,1,3245
3,1836,1,7188
4,520,1,4026
2,1495,1,8695
77,592,1,6371
960,288,1,4205
74,230,1,9536
53,134,1,3813
12,929,1,9003
6,406,1,7255
514,98,1,786
793,1570,1,228
23,1966,1,4948
5,1028,1,7478
179,397,1,828
1,206,1,379
173,891,1,6257
258,863,1,9321
1,1020,1,6083
841,484,1,8483
898,1678,1,3549
623,524,1,7689
23,1266,1,60
4,681,1,5432
44,1012,1,2671
13,1643,1,3340
3,1981,1,2790
13,1371,1,3655
81,1248,1,5549
1,1981,1,5103
7,1768,1,7519
1,1479,1,2663
153,1700,1,202
68,683,1,7088
1,1397,1,8663
768,1256,1,7944
1,1520,1,3027
46,1533,1,3357
188,1136,1,3974
204,1104,1,4472
1,641,1,4238
497,1759,1,3124
543,1661,1,2308
38,729,1,6004
21,246,1,3791
1,1207,1,5936
38,293,1,6522
12,1633,1,3111
183,1534,1,8540
12,1224,1,1602
94,463,1,3778
1,763,1,4924
1,1369,1,5920
2,1171,1,3779
1,488,1,8514
32,550,1,5864
214,1802,1,180
54,150,1,3966
42,262,1,9905
92,623,1,8221
7,1,1,8930
8,1675,1,3720
6,1014,1,6331
116,1682,1,55
2,403,1,6658
1,1696,1,9626
49,1648,1,7999
650,103,1,2065
54,1135,1,4184
197,152,1,3295
86,877,1,3856
23,1186,1,2752
122,160,1,725
268,1300,1,9446
3,1919,1,9370
7,400,1,9489
3,459,1,8050
17,1398,1,9087
423,37,1,2500
7,437,1,1330
9,225,1,5118
352,283,1,2628
27,452,1,2451
31,658,1,9362
353,1072,1,7058
22,1243,1,7866
92,1396,1,4295
1,1768,1,9657
2,496,1,1731
12,1122,1,8150
23,190,1,1124
774,1184,1,7194
803,17,1,4622
328,569,1,1489
6,1815,1,265
764,853,1,2030
98,154,1,6875
11,1127,1,9436
107,245,1,3767
1,1705,1,8588
2,1841,1,7057
280,827,1,9673
70,35,1,8300
9,1799,1,3564
24,971,1,8072
492,1115,1,7850
63,726,1,6036
11,1688,1,7960
1,1148,1,3197
5,1365,1,1186
851,837,1,4132
15,443,1,3076
19,1076,1,413
23,4,1,8675
420,876,1,3848
52,46,1,8795
101,1843,1,7975
10,635,1,1082
1,656,1,4356
597,1627,1,7663
